NO,Series,Model,Description,Pricelist (Rp)
50,SFX,MOXLITE SPARKY,900W Spark,10120000
51,SFX,MOXLITE FLAME,,3200000
52,SFX,BUBBLE FOG MACHINE,,11900000
53,SFX,FOG LIQUID,,480000
54,SFX,BUBBLE LIQUID,,487000
55,SFX,MOXLITE CO2 BARREL,30W CO2,5800000
56,SFX,MOXLITE CO2 SHOT,1000W Spray CO2 up to 8m range,5460000
57,SFX,MOXLITE CO2 GUN,40W Portable CO2 with RGB LEDs,6170000
58,SFX,MOXLITE CONFETTI GUN,20W Portable confetti up to 10m range,3930000
59,SFX,MOXLITE CONFETTI BLASTER,50W Confetti up to 18m range,16230000
